id_libro|id_genero
1|1
1|2
1|3
1|4
2|2
2|5
2|6
2|7
2|8
2|9
3|2
3|5
3|10
3|11
3|12
3|20
4|2
4|4
4|5
4|10
4|13
4|20
5|2
5|4
5|9
5|10
5|14
5|15
5|16
6|2
6|5
6|13
6|17
6|18
6|19
7|2
7|5
7|13
7|17
7|18
7|19
8|2
8|5
8|13
8|17
8|18
8|19
9|2
9|3
9|6
9|14
9|15
9|16
9|21
10|2
10|3
10|10
10|14
10|16
10|20
11|2
11|4
11|6
11|9
11|10
11|11
11|21
12|2
12|3
12|5
12|13
12|17
12|18
12|19
12|20
13|2
13|6
13|9
13|10
13|15
13|16
14|4
14|10
14|15
14|16
14|26
15|4
15|10
15|16
15|20
15|22
15|26
16|5
16|10
16|11
16|13
16|16
16|26
17|2
17|11
17|13
17|17
17|18
17|19
17|20
17|22
18|2
18|11
18|13
18|17
18|18
18|19
18|20
18|22
19|2
19|11
19|13
19|17
19|18
19|19
19|20
19|22
20|2
20|11
20|13
20|17
20|18
20|19
20|20
20|22
21|1
21|2
21|5
21|13
21|17
22|2
22|3
22|5
22|6
22|23
22|24
22|25
23|2
23|3
23|5
23|6
23|23
23|24
23|25
24|2
24|3
24|5
24|6
24|23
24|24
24|25
25|2
25|4
25|10
25|11
25|21
26|10
26|15
26|21
26|26
27|2
27|3
27|16
27|26
28|1
28|2
28|4
28|27
29|1
29|7
29|8
29|22
29|25
29|28
29|29
30|1
30|7
30|8
30|22
30|25
30|28
30|29
31|1
31|2
31|5
31|17
31|18
32|1
32|2
32|5
32|17
32|18
33|3
33|6
33|9
33|10
33|16
34|9
34|10
34|15
34|16
34|21
34|26
35|14
35|16
35|26
35|28
35|30
35|31
36|6
36|10
36|15
36|21
37|8
37|10
37|15
37|21
37|22
38|16
38|20
38|26
39|1
39|16
39|18
39|19
39|20
39|31
40|2
40|3
40|5
40|6
40|15
40|25
40|29
41|2
41|3
41|5
41|6
41|15
41|25
41|29
42|2
42|3
42|5
42|6
42|15
42|25
42|29
43|2
43|3
43|6
43|16
44|2
44|3
44|10
44|14
44|21
45|1
45|6
45|20
45|28
46|1
46|2
46|27
46|28
47|1
47|6
47|16
47|26
47|32
48|5
48|33
49|5
49|33
50|1
50|20
50|32
51|1
51|16
51|20
51|32
52|1
52|16
52|20
52|32
53|5
53|33
54|12
54|22
54|35
55|2
55|23
55|25
55|35
56|2
56|23
56|25
56|35
57|2
57|3
57|21
57|34
57|36
58|3
58|6
58|9
58|10
58|16
58|20
58|26
58|36
59|20
59|30
59|36
60|3
60|5
60|11
60|18
60|21
60|36
61|2
61|13
61|16
61|18
61|19
62|2
62|3
62|5
62|7
62|23
63|2
63|3
63|5
63|7
63|23
64|2
64|3
64|5
64|7
64|23
65|5
65|18
65|19
65|21
65|36
66|31
67|15
67|18
67|19
67|20
67|37
68|15
68|18
68|19
68|20
68|37
69|15
69|18
69|19
69|20
69|37
70|2
70|18
70|19
71|3
71|6
71|9
71|10
71|16
71|26
72|1
72|4
72|5
72|23
72|24
73|2
73|5
73|6
73|7
73|8
74|2
74|5
74|9
74|13
74|15
74|18
75|2
75|5
75|8
75|23
76|2
76|23
76|24
77|14
77|15
77|30
78|2
78|3
78|15
78|21
78|36
79|14
79|15
79|30
79|38
80|33
80|38
81|28
81|33
81|38
82|2
82|18
82|19
82|37
83|2
83|18
83|19
83|37
84|3
84|6
84|14
84|16
85|3
85|6
85|14
85|16
86|2
86|13
86|15
86|16
86|18
86|19
87|2
87|3
87|5
87|8
87|23
87|29
88|2
88|3
88|5
88|8
88|23
88|29
89|2
89|3
89|5
89|8
89|23
89|29
90|3
90|36
90|39
91|30
91|39
92|2
92|9
92|10
92|15
92|20
92|24
93|2
93|9
93|10
93|20
94|2
94|10
94|16
94|20
94|38
95|2
95|10
95|15
95|21
96|9
96|10
96|20
97|2
97|9
97|10
97|14
97|15
98|2
98|10
98|28
98|38
99|2
99|10
99|15
99|18
99|19
100|2
100|10
100|19
100|26
101|2
101|5
101|11
101|21
102|2
102|5
102|10
102|11
102|19
102|21
103|2
103|10
103|11
103|21
103|41
104|2
104|10
104|11
104|21
104|41
105|2
105|10
105|11
105|19
105|21
106|1
106|6
106|10
106|11
106|21
107|2
107|5
107|10
107|11
107|21
108|2
108|10
108|11
108|19
108|21
109|2
109|5
109|10
109|11
109|21
110|2
110|3
110|5
110|23
110|24
111|2
111|8
111|10
111|18
111|19
111|20
111|34
112|2
112|10
112|15
112|18
112|19
113|2
113|10
113|15
113|18
113|19
114|2
114|10
114|15
114|18
114|19
115|2
115|6
115|8
115|15
115|18
115|19
116|2
116|18
116|19
117|2
117|18
117|19
118|14
118|20
118|28
118|30
118|41
119|4
119|20
119|22
120|10
120|20
120|34
121|40
122|2
122|3
122|5
122|21
123|40
124|40
125|40
126|40
127|40
128|40
129|2
129|5
129|13
129|17
129|18
129|19
130|2
130|5
130|13
130|17
130|18
130|19
131|2
131|5
131|13
131|17
131|18
131|19
132|2
132|4
132|10
132|18
132|19
133|2
133|4
133|10
133|18
133|19
134|2
134|4
134|10
134|18
134|19
135|2
135|4
135|10
135|18
135|19
136|2
136|4
136|10
136|18
136|19
137|5
137|33
138|5
138|33
139|5
139|33
140|5
140|33
141|5
141|33
142|5
142|33
143|5
143|33
144|5
144|33
145|5
145|33
146|5
146|33
147|5
147|33
148|2
148|8
148|12
148|23
148|25
148|35
149|2
149|8
149|12
149|23
149|25
149|35
150|2
150|8
150|12
150|23
150|25
150|35
151|2
151|8
151|12
151|23
151|25
151|35
152|2
152|8
152|12
152|23
152|25
152|35
153|2
153|8
153|12
153|23
153|25
153|35
154|2
154|18
154|19
154|37
155|2
155|18
155|19
155|37
156|2
156|18
156|19
156|37
157|2
157|18
157|19
157|37
158|2
158|9
158|10
158|15
158|18
158|19
159|2
159|5
159|10
159|11
159|21
159|23
160|2
160|5
160|10
160|11
160|21
160|23
161|2
161|5
161|10
161|11
161|21
161|23
162|2
162|5
162|10
162|11
162|21
162|23
77|42
54|43
163|2
163|13
163|15
163|17
163|18
163|19
163|26
164|1
164|2
164|5
164|23
164|24
164|27
165|1
165|2
165|5
165|23
165|24
165|27
166|3
166|5
166|23
166|33
167|3
167|5
167|23
167|33
168|3
168|5
168|23
168|33
169|3
169|5
169|23
169|33
170|3
170|5
170|23
170|33
171|3
171|5
171|23
171|33
172|3
172|5
172|23
172|33
173|2
173|9
173|10
173|15
173|4
173|6
174|2
174|6
174|10
174|15
174|9
175|10
175|15
175|9
175|2
175|6
175|41
175|30
176|41
176|9
176|30
176|27
177|30
177|10
177|4
177|26
178|18
178|19
178|20
178|22
178|41
178|2
178|11
178|13
178|17
179|2
179|11
179|13
179|17
179|18
179|19
179|20
179|22
180|2
180|11
180|13
180|17
180|18
180|19
180|20
180|22
181|2
181|11
181|13
181|17
181|18
181|19
181|20
181|22
182|2
182|10
182|20
182|4
183|2
183|3
183|5
183|6
183|23
183|24
183|25
184|13
184|18
184|41
184|2
184|5
184|10
184|15
185|23
185|14
185|9
185|3
185|10
185|2
185|6
186|23
186|24
186|6
186|3
186|9
186|2
186|10
186|5
187|23
187|24
187|6
187|3
187|9
187|2
187|10
187|5
188|6
188|2
188|20
188|10
188|15
189|2
189|5
189|3
189|23
189|25
189|29
190|2
190|5
190|3
190|23
190|25
190|29
191|2
191|5
191|3
191|23
191|25
191|29
192|2
192|5
192|3
192|23
192|25
192|29
193|2
193|5
193|3
193|23
193|25
193|29
194|2
194|5
194|3
194|23
194|25
194|29
195|2
195|5
195|3
195|23
195|25
195|29
196|5
196|2
196|3
196|33
196|25
197|41
197|5
197|9
197|2
197|10
197|15
197|11
197|13
198|33
198|2
198|3
198|5
199|10
199|2
199|21
199|15
200|5
200|2
200|3
200|6
201|5
201|2
201|3
201|6
202|2
202|3
202|5
202|25
202|29
203|2
203|3
203|5
203|25
203|29
204|2
204|3
204|5
204|25
204|29
205|2
205|3
205|5
205|25
205|29
206|2
206|10
206|16
207|2
207|18
207|19
207|20
207|37
208|2
208|10
208|18
208|19
208|20
208|37
209|1
209|2
209|4
210|2
210|10
210|20
211|1
211|2
211|4
211|11
211|13
211|27
221|3
221|2
221|8
221|4
221|1
222|2
222|4
222|6
222|8
222|1
223|2
223|4
223|1
223|6
224|18
224|19
224|20
224|8
224|34
225|18
225|19
225|20
225|8
226|34
226|20
226|19
226|18
226|10
226|8
227|6
227|9
228|6
228|9
229|2
229|6
229|8
229|15
230|2
230|6
230|8
230|15
231|2
231|6
231|8
231|15
232|2
232|6
232|8
232|15
233|2
233|6
233|8
233|15
234|2
234|6
234|8
234|15
235|2
235|6
235|8
235|15
236|2
236|6
236|8
236|15
237|2
237|3
237|5
237|6
237|25
238|2
238|3
238|5
238|6
238|25
239|2
239|5
239|6
239|7
239|8
239|22
240|13
240|18
240|19
240|37
241|8
241|2
241|22
241|20
241|27
242|8
242|2
242|22
242|20
242|27
243|8
243|2
243|22
243|20
243|27
244|8
244|2
244|22
244|20
244|27
245|38
245|31
245|14
245|27
246|20
246|2
246|10
247|14
247|10
247|5
247|11
247|23
248|15
248|10
248|26
248|30
249|2
249|3
249|4
249|10
249|21
250|1
250|2
250|4
250|6
250|8
250|27
251|3
251|6
251|9
251|16
251|20
252|6
252|16
252|20
253|2
253|3
253|6
253|9
253|10
253|14
254|2
254|3
254|6
254|9
254|10
254|14
255|2
255|3
255|6
255|9
255|10
255|14
256|1
256|6
256|28
257|2
257|5
257|15
257|23
258|2
258|5
258|15
258|23
259|2
259|3
259|5
259|23
259|33
260|2
260|3
260|5
260|23
260|33
261|2
261|3
261|5
261|23
261|33
262|2
262|3
262|5
262|7
262|25
262|33
263|2
263|3
263|5
263|7
263|25
263|33
264|2
264|3
264|5
264|7
264|25
264|33
265|2
265|3
265|5
265|7
265|25
265|33
266|2
266|3
266|5
266|7
266|25
266|33
267|6
267|10
267|15
267|16
268|15
268|18
268|19
268|37
268|2
268|10
269|21
269|2
269|10
269|14
270|3
270|6
270|9
270|2
270|14
271|2
271|5
271|13
271|15
271|18
271|19
272|2
272|5
272|13
272|15
272|18
272|19
273|2
273|5
273|13
273|15
273|18
273|19
274|2
274|5
274|13
274|15
274|18
274|19
275|2
275|5
275|13
275|15
275|18
275|19
276|2
276|10
276|15
276|16
276|39
277|24
277|2
277|5
277|3
277|9
277|15
277|23
278|2
278|5
278|3
278|9
278|15
278|23
278|11
279|2
279|5
279|3
279|9
279|15
279|23
279|11
280|3
280|6
280|5
280|11
280|2
280|10
280|8
280|29
281|1
281|27
281|42
282|3
282|6
282|2
282|24
282|23
283|3
283|6
283|2
283|24
283|23
284|3
284|6
284|2
284|24
284|23
285|3
285|6
285|2
285|24
285|23
286|2
286|10
286|16
287|12
287|43
288|12
288|43
289|12
289|43
290|12
290|43
290|35
291|12
291|43
291|35
292|12
292|43
292|35
293|12
293|43
293|35
294|12
294|43
294|35
295|12
295|43
296|39
297|39
297|30
298|34
299|34
299|22
300|34
318|1
318|27
318|28
319|5
319|3
319|2
319|6
319|17
320|5
320|3
320|2
320|6
320|17
321|5
321|3
321|2
321|6
321|17
322|5
322|3
322|2
322|6
322|17
323|10
323|6
323|3
323|20
324|2
324|3
324|10
324|11
324|6
325|10
325|41
325|11
325|4
325|20
326|2
326|20
326|12
326|7
327|18
327|10
327|9
327|19
327|4
328|5
328|3
328|24
328|6
328|23
329|5
329|3
329|24
329|6
329|23
330|5
330|3
330|24
330|6
330|23
331|5
331|3
331|24
331|6
331|23
332|2
332|10
332|9
332|14
332|15
333|13
333|18
333|24
333|23
333|15
334|15
334|8
334|2
334|22
334|4
335|1
335|20
335|9
335|28
336|2
336|14
336|33
336|36
336|34
336|12
337|2
337|21
337|4
337|27
338|11
338|2
338|1
338|20
338|4
338|5
339|2
339|20
339|10
340|2
340|1
340|24
340|23
340|42
340|15
341|2
341|1
341|24
341|23
341|42
341|15
342|2
342|4
342|20
342|1
342|8
343|6
343|28
343|2
343|10
343|20
343|15
344|4
344|2
344|8
344|20
344|26
345|2
345|10
345|14
345|15
345|4
346|28
346|1
346|20
346|41
346|2
346|13
347|28
347|6
347|15
347|39
348|41
348|13
348|2
348|11
348|15
348|20
348|5
349|41
349|13
350|2
350|13
350|23
350|24
350|4
350|10
350|5
350|11
351|2
351|8
351|10
351|9
351|1
351|4
352|3
352|2
352|9
352|10
352|14
353|13
353|2
353|20
353|18
353|10
353|17
354|10
354|26
354|2
354|16
355|10
355|2
355|9
356|41
356|2
356|6
356|20
356|10
357|1
357|2
357|4
357|42
358|2
358|10
358|16
358|20
359|2
359|10
359|16
359|20
359|26
360|10
360|2
361|10
361|2
361|9
361|20
362|2
362|16
362|6
363|2
363|20
363|42
363|10
363|8
363|6
364|3
364|4
364|2
364|10
364|14
365|23
365|2
365|5
365|4
365|15
366|23
366|2
366|5
366|4
366|15
367|23
367|2
367|5
367|4
367|15
368|23
368|2
368|5
368|4
368|15
369|23
369|2
369|5
369|4
369|15
370|23
370|2
370|5
370|4
370|15
371|6
371|3
371|2
371|16
372|6
372|3
372|2
372|16
373|6
373|3
373|2
373|16
374|5
374|21
374|3
374|2
374|36
374|34
375|2
375|19
375|8
375|16
379|5
379|6
379|44
379|3
379|2
238|44
237|44
42|44
41|44
40|44
282|44
283|44
284|44
285|44
379|45
282|45
283|45
284|45
285|45
279|45
278|45
277|45
257|45
258|45
237|45
238|45
200|45
201|45
202|45
203|45
204|45
205|45
189|45
190|45
191|45
192|45
193|45
194|45
195|45
196|45
198|45
166|45
167|45
168|45
169|45
170|45
171|45
172|45
75|45
62|45
63|45
64|45
40|45
41|45
42|45
380|2
380|3
380|5
380|6
380|44
380|45
381|2
381|3
381|5
381|6
381|44
381|45
382|2
382|3
382|5
382|6
382|44
382|45
383|2
383|3
383|5
383|6
383|44
383|45
384|2
384|3
384|5
384|6
384|44
384|45
385|2
385|3
385|5
385|6
385|44
385|45
386|2
386|3
386|5
386|6
386|44
386|45
387|2
387|3
387|5
387|6
387|44
387|45
388|2
388|3
388|5
388|6
388|44
388|45
389|2
389|3
389|5
389|6
389|44
389|45
390|2
390|3
390|5
390|6
390|44
390|45
391|2
391|3
391|5
391|6
391|44
391|45
392|2
392|3
392|5
392|6
392|44
392|45
393|2
393|3
393|5
393|6
393|44
393|45
394|2
394|3
394|5
394|6
394|44
394|45
395|2
395|5
395|3
395|23
395|25
395|29
395|45
396|2
396|5
396|3
396|23
396|25
396|29
396|45
397|2
397|5
397|3
397|23
397|25
397|29
397|45
398|2
398|5
398|3
398|23
398|25
398|29
398|45
399|5
399|2
399|15
399|23
399|45
399|29
399|25
400|5
400|2
400|15
400|23
400|45
400|29
400|25
401|5
401|2
401|15
401|23
401|45
401|29
401|25
402|5
402|2
402|15
402|23
402|45
402|29
402|25
403|5
403|2
403|15
403|23
403|45
403|29
403|25
404|13
404|18
404|5
404|2
404|19
404|1
404|8
405|13
405|18
405|5
405|2
405|23
405|24
406|13
406|2
406|18
406|19
406|15
407|13
407|18
407|2
407|5
407|19
408|13
408|18
408|2
408|5
408|19
408|23
408|15
409|5
409|2
409|13
409|15
409|18
409|23
409|45
409|25
410|2
410|11
410|8
410|1
410|5
410|20
410|4
410|22
411|2
411|1
411|11
411|20
411|4
412|2
412|20
412|4
412|1
413|2
413|1
413|20
413|15
413|16
414|2
414|1
414|20
414|4
414|11
414|41
415|2
415|20
415|1
415|4
415|16
416|1
416|20
416|2
416|4
416|16
417|2
417|1
417|20
417|4
417|25
417|8
417|38
418|32
418|1
418|8
418|2
418|16
419|32
419|1
419|2
419|16
420|32
420|1
420|2
420|16
421|32
421|1
421|2
421|16
422|2
422|1
422|20
422|4
422|11
423|8
423|2
423|9
423|22
423|15
424|5
424|8
424|2
424|22
424|15
424|11
425|5
425|2
425|11
425|15
425|19
425|7
426|5
426|45
426|15
426|23
426|2
426|3
427|13
427|41
427|2
427|18
427|5
428|2
428|9
428|4
429|2
429|8
429|15
429|4
429|22
430|6
430|2
430|20
430|15
430|10
431|6
431|20
431|10
431|15
431|38
432|6
432|20
432|10
432|15
432|38
433|6
433|20
433|10
433|15
433|38
434|6
434|20
434|10
434|15
434|38
435|20
435|6
435|2
435|11
435|16
436|20
436|6
436|10
436|2
436|15
437|9
437|6
437|20
437|28
437|42
438|20
438|1
438|28
438|9
439|28
439|1
439|20
439|2
439|8
439|22
439|29
440|10
440|30
440|27
441|2
441|20
441|1
441|4
442|2
442|20
442|1
442|4
442|6
443|8
443|22
443|4
444|2
444|38
444|6
444|10
444|4
444|15
445|2
445|11
445|20
445|38
445|10
445|5
445|16
445|41
446|20
446|2
446|8
446|16
447|10
447|2
447|16
447|31
448|2
448|1
448|9
448|4
448|41
449|2
449|10
449|20
449|38
450|8
450|22
450|2
450|11
450|5
450|20
450|4
212|36
212|21
212|23
212|24
213|36
213|21
213|23
213|24
214|36
214|21
214|23
214|24
215|36
215|21
215|23
215|24
216|36
216|21
216|23
216|24
217|36
217|21
217|23
217|24
218|36
218|21
218|23
218|24
219|36
219|21
219|23
219|24
220|36
220|21
220|23
220|24
